TransactionID,Department,Region,TransactionDate,Revenue,Cost
1,HR,South,2022-06-22,51679.32,210070.76
2,Finance,North,2021-05-23,117494.11,90628.4
3,IT,North,2022-09-19,138632.37,189667.53
4,Finance,North,2023-04-21,154819.5,164890.83
5,Finance,East,2021-08-06,474531.74,187420.39
6,Operations,Central,2022-08-16,293006.17,302523.52
7,IT,Central,2022-12-14,305814.55,301787.94
8,IT,West,2021-03-08,402605.46,115157.46
9,IT,North,2023-01-31,449655.37,154482.01
10,Finance,East,2021-05-24,46947.13,275193.32
11,HR,South,2024-03-10,520482.56,54343.49
12,IT,South,2024-10-01,593581.34,315502.93
13,Finance,West,2022-04-10,112603.12,95281.48
14,Operations,West,2021-04-06,406349.72,385507.21
15,HR,North,2022-02-12,46339.63,191485.87
16,Operations,North,2024-02-16,72211.36,113388.13
17,HR,South,2023-03-15,203175.57,306498.42
18,Finance,South,2023-01-27,514754.27,257341.31
19,Sales,South,2024-11-04,407138.0,92276.19
20,HR,South,2022-12-14,292430.62,375333.57
21,Operations,Central,2021-10-05,288422.15,213820.88
22,Finance,North,2021-12-27,303659.73,83769.78
23,HR,North,2024-10-25,217623.37,361950.6
24,Sales,South,2021-07-31,532131.56,75643.7
25,Sales,East,2024-07-06,360167.37,436192.63
26,IT,South,2024-01-26,313592.23,208861.84
27,IT,West,2024-05-18,303117.51,332592.02
28,Operations,East,2023-02-17,564383.69,213250.06
29,HR,West,2021-01-21,446632.37,99027.07
30,HR,East,2022-12-30,125372.08,345505.26
31,IT,West,2024-12-27,287518.44,143002.23
32,HR,South,2022-09-08,205046.58,312804.5
33,HR,South,2022-01-06,592712.11,129185.01
34,Sales,East,2024-11-17,275544.62,122158.78
35,IT,West,2022-09-16,82667.91,215616.51
36,Finance,Central,2024-05-27,273222.66,370615.41
37,IT,East,2022-09-24,223349.41,283089.48
38,Finance,East,2023-01-31,377768.37,45936.95
39,Sales,North,2023-04-27,170473.39,335029.55
40,Operations,East,2023-08-06,64965.38,268461.07
41,HR,Central,2024-01-25,98213.61,287380.31
42,Sales,South,2024-12-26,202146.91,170745.77
43,HR,West,2021-07-07,238319.06,258261.83
44,Operations,North,2022-05-16,508120.05,178655.92
45,Operations,West,2023-05-26,194888.67,53210.45
46,Sales,South,2022-01-10,62478.64,382793.88
47,Operations,East,2022-03-10,478307.08,310907.54
